Area,Pop. Est
"Montgomery, North Carolina",27077
"Moore, North Carolina",98805
"Nash, North Carolina",94094
"New Hanover, North Carolina",232256
"Northampton, North Carolina",19698
"Onslow, North Carolina",196915
"Orange, North Carolina",147980
"Pamlico, North Carolina",12633
"Pasquotank, North Carolina",39583
"Pender, North Carolina",62017
"Perquimans, North Carolina",13381
"Person, North Carolina",39436
"Pitt, North Carolina",179575
"Polk, North Carolina",20668
"Randolph, North Carolina",143249
"Richmond, North Carolina",44888
"Robeson, North Carolina",131884
"Rockingham, North Carolina",90617
"Rowan, North Carolina",141128
"Rutherford, North Carolina",66775
"Sampson, North Carolina",63345
"Scotland, North Carolina",34751
"Stanly, North Carolina",62180
"Stokes, North Carolina",45511
"Surry, North Carolina",71959
"Swain, North Carolina",14249
"Transylvania, North Carolina",34173
"Tyrrell, North Carolina",4115
"Union, North Carolina",235830
"Vance, North Carolina",44635
"Wake, North Carolina",1091273
"Warren, North Carolina",19819
"Washington, North Carolina",11769
"Watauga, North Carolina",56034
"Wayne, North Carolina",123237
"Wilkes, North Carolina",68563
"Wilson, North Carolina",81392
"Yadkin, North Carolina",37481
"Yancey, North Carolina",17873
"Adams, North Dakota",2276
"Barnes, North Dakota",10527
"Benson, North Dakota",6958
"Billings, North Dakota",918
"Bottineau, North Dakota",6398
"Bowman, North Dakota",3067
"Burke, North Dakota",2094
"Burleigh, North Dakota",95276
"Cass, North Dakota",180294
"Cavalier, North Dakota",3811
"Dickey, North Dakota",4931
"Divide, North Dakota",2264
"Dunn, North Dakota",4328
"Eddy, North Dakota",2309
"Emmons, North Dakota",3278
"Foster, North Dakota",3207
"Golden Valley, North Dakota",1763
"Grand Forks, North Dakota",70355
"Grant, North Dakota",2354
"Griggs, North Dakota",2228
"Hettinger, North Dakota",2503
"Kidder, North Dakota",2453
"LaMoure, North Dakota",4075
"Logan, North Dakota",1887
"McHenry, North Dakota",5808
"McIntosh, North Dakota",2566
"McKenzie, North Dakota",13594
"McLean, North Dakota",9529
"Mercer, North Dakota",8266
"Morton, North Dakota",31058
"Mountrail, North Dakota",10239
"Nelson, North Dakota",2885
"Oliver, North Dakota",1945
"Pembina, North Dakota",6895
"Pierce, North Dakota",4070
"Ramsey, North Dakota",11580
"Ransom, North Dakota",5224
"Renville, North Dakota",2358
"Richland, North Dakota",16229
"Rolette, North Dakota",14349
"Sargent, North Dakota",3851
"Sheridan, North Dakota",1342
"Sioux, North Dakota",4377
"Slope, North Dakota",761
"Stark, North Dakota",30893
"Steele, North Dakota",1892
"Stutsman, North Dakota",20875
"Towner, North Dakota",2185
"Traill, North Dakota",8020
"Walsh, North Dakota",10645
"Ward, North Dakota",67713
"Wells, North Dakota",3908
"Williams, North Dakota",35469
"Adams, Ohio",27694
"Allen, Ohio",102725
"Ashland, Ohio",53706
"Ashtabula, Ohio",97587
"Athens, Ohio",65519
"Auglaize, Ohio",45736
"Belmont, Ohio",67533
"Brown, Ohio",43570
"Butler, Ohio",382000
"Carroll, Ohio",27082
"Champaign, Ohio",38785
"Clark, Ohio",134528
"Clermont, Ohio",205526
"Clinton, Ohio",42085
"Columbiana, Ohio",102473
"Coshocton, Ohio",36596
"Crawford, Ohio",41484
"Cuyahoga, Ohio",1241718
"Darke, Ohio",51299
"Defiance, Ohio",38089
"Delaware, Ohio",205091
"Erie, Ohio",74513
"Fairfield, Ohio",155982
"Fayette, Ohio",28653
"Franklin, Ohio",1307698
"Fulton, Ohio",42267
"Gallia, Ohio",29945
"Geauga, Ohio",93945
"Greene, Ohio",167446
"Guernsey, Ohio",39011
"Hamilton, Ohio",815445
"Hancock, Ohio",75920
"Hardin, Ohio",31418
"Harrison, Ohio",15167
"Henry, Ohio",27091
"Highland, Ohio",43052
"Hocking, Ohio",28357
"Holmes, Ohio",43919
"Huron, Ohio",58364
"Jackson, Ohio",32366
"Jefferson, Ohio",65774
"Knox, Ohio",61900
"Lake, Ohio",230102
"Lawrence, Ohio",59767
"Licking, Ohio",175666
"Logan, Ohio",45332
"Lorain, Ohio",309052
"Lucas, Ohio",429612
"Madison, Ohio",44389
"Mahoning, Ohio",229216
"Marion, Ohio",65427
"Medina, Ohio",178978
"Meigs, Ohio",23064
"Mercer, Ohio",40952
"Miami, Ohio",106042
"Monroe, Ohio",13787
"Montgomery, Ohio",531600
"Morgan, Ohio",14581
"Morrow, Ohio",35113
"Muskingum, Ohio",86131
"Noble, Ohio",14347
"Ottawa, Ohio",40769
"Paulding, Ohio",18742
"Perry, Ohio",36039
"Pickaway, Ohio",58077
"Pike, Ohio",27932
"Portage, Ohio",162502
"Preble, Ohio",41011
"Putnam, Ohio",33802
"Richland, Ohio",120987
"Ross, Ohio",76884
"Sandusky, Ohio",58740
"Scioto, Ohio",75480
"Seneca, Ohio",55194
"Shelby, Ohio",48622
"Stark, Ohio",371248
"Summit, Ohio",541353
"Trumbull, Ohio",198539
"Tuscarawas, Ohio",92079
"Union, Ohio",57782
"Van Wert, Ohio",28253
"Vinton, Ohio",13145
"Warren, Ohio",231945
"Washington, Ohio",60111
"Wayne, Ohio",115790
"Williams, Ohio",36739
"Wood, Ohio",130441
"Wyandot, Ohio",21918
"Adair, Oklahoma",22224
"Alfalfa, Oklahoma",5765
"Atoka, Oklahoma",13795
"Beaver, Oklahoma",5318
"Beckham, Oklahoma",21720
"Blaine, Oklahoma",9454
"Bryan, Oklahoma",47191
"Caddo, Oklahoma",29028
"Canadian, Oklahoma",144426
"Carter, Oklahoma",48213
"Cherokee, Oklahoma",48607
"Choctaw, Oklahoma",14698
"Cimarron, Oklahoma",2165
"Cleveland, Oklahoma",281166
"Coal, Oklahoma",5520
"Comanche, Oklahoma",120528
"Cotton, Oklahoma",5820
"Craig, Oklahoma",14300
"Creek, Oklahoma",71730
"Custer, Oklahoma",28995
"Delaware, Oklahoma",42814
"Dewey, Oklahoma",4931
"Ellis, Oklahoma",3939
"Garfield, Oklahoma",61095
"Garvin, Oklahoma",27746
"Grady, Oklahoma",55448
"Grant, Oklahoma",4321
"Greer, Oklahoma",5814
"Harmon, Oklahoma",2691
"Harper, Oklahoma",3727
"Haskell, Oklahoma",12636
"Hughes, Oklahoma",13305
"Jackson, Oklahoma",24775
"Jefferson, Oklahoma",6106
"Johnston, Oklahoma",11020
"Kay, Oklahoma",43944
"Kingfisher, Oklahoma",15814
"Kiowa, Oklahoma",8732
"Latimer, Oklahoma",10175
"Le Flore, Oklahoma",50093
"Lincoln, Oklahoma",34837
"Logan, Oklahoma",47248
"Love, Oklahoma",10156
"McClain, Oklahoma",39887
"McCurtain, Oklahoma",32967
"McIntosh, Oklahoma",19745
"Major, Oklahoma",7627
"Marshall, Oklahoma",16727
"Mayes, Oklahoma",41210
"Murray, Oklahoma",13968
"Muskogee, Oklahoma",68324
"Noble, Oklahoma",11279
"Nowata, Oklahoma",10278
"Okfuskee, Oklahoma",12081
"Oklahoma, Oklahoma",790593
"Okmulgee, Oklahoma",38321
"Osage, Oklahoma",47121
"Ottawa, Oklahoma",31319
"Pawnee, Oklahoma",16356
"Payne, Oklahoma",82172
"Pittsburg, Oklahoma",43870
"Pontotoc, Oklahoma",38272
"Pottawatomie, Oklahoma",72513
"Pushmataha, Oklahoma",11192
"Roger Mills, Oklahoma",3646
"Rogers, Oklahoma",91801
"Seminole, Oklahoma",24520
"Sequoyah, Oklahoma",41585
"Stephens, Oklahoma",43179
"Texas, Oklahoma",20491
"Tillman, Oklahoma",7323
"Tulsa, Oklahoma",647683
"Wagoner, Oklahoma",80123
"Washington, Oklahoma",51791
"Washita, Oklahoma",11036
"Woods, Oklahoma",8893
"Woodward, Oklahoma",20312
"Baker, Oregon",16034
"Benton, Oregon",92442
"Clackamas, Oregon",415416
"Clatsop, Oregon",39711
"Columbia, Oregon",52245
"Coos, Oregon",64272
"Crook, Oregon",23825
"Curry, Oregon",22795
"Deschutes, Oregon",191905
"Douglas, Oregon",110114
"Gilliam, Oregon",1893
"Grant, Oregon",7185
"Harney, Oregon",7292
"Hood River, Oregon",23267
"Jackson, Oregon",219411
"Jefferson, Oregon",24150
"Josephine, Oregon",87150
"Klamath, Oregon",67687
"Lake, Oregon",7835
"Lane, Oregon",378549
"Lincoln, Oregon",49224
"Linn, Oregon",127451
"Malheur, Oregon",30553
"Marion, Oregon",345412
"Morrow, Oregon",11360
"Multnomah, Oregon",809072
"Polk, Oregon",84992
"Sherman, Oregon",1700
"Tillamook, Oregon",26710
"Umatilla, Oregon",77421
"Union, Oregon",26701
"Wallowa, Oregon",7058
"Wasco, Oregon",26432
"Washington, Oregon",596904
"Wheeler, Oregon",1351
"Yamhill, Oregon",106367
"Adams, Pennsylvania",103062
"Allegheny, Pennsylvania",1217281
"Armstrong, Pennsylvania",65352
"Beaver, Pennsylvania",164582
"Bedford, Pennsylvania",48094
"Berks, Pennsylvania",420529
"Blair, Pennsylvania",122503
"Bradford, Pennsylvania",60794
"Bucks, Pennsylvania",627812
"Butler, Pennsylvania",187638
"Cambria, Pennsylvania",131449
"Cameron, Pennsylvania",4501
"Carbon, Pennsylvania",64175
"Centre, Pennsylvania",162601
"Chester, Pennsylvania",522086
"Clarion, Pennsylvania",38672
"Clearfield, Pennsylvania",79572
"Clinton, Pennsylvania",38696
"Columbia, Pennsylvania",65215
"Crawford, Pennsylvania",85110
"Cumberland, Pennsylvania",251131
"Dauphin, Pennsylvania",276864
"Delaware, Pennsylvania",565231
"Elk, Pennsylvania",30110
"Erie, Pennsylvania",271544
"Fayette, Pennsylvania",130323
"Forest, Pennsylvania",7284
"Franklin, Pennsylvania",154579
"Fulton, Pennsylvania",14525
"Greene, Pennsylvania",36661
"Huntingdon, Pennsylvania",45395
"Indiana, Pennsylvania",84441
"Jefferson, Pennsylvania",43614
"Juniata, Pennsylvania",24718
"Lackawanna, Pennsylvania",210269
"Lancaster, Pennsylvania",543969
"Lawrence, Pennsylvania",86128
"Lebanon, Pennsylvania",141339
"Lehigh, Pennsylvania",368359
"Luzerne, Pennsylvania",317859
"Lycoming, Pennsylvania",113866
"McKean, Pennsylvania",40950
"Mercer, Pennsylvania",110471
"Mifflin, Pennsylvania",46211
"Monroe, Pennsylvania",169294
"Montgomery, Pennsylvania",826924
"Montour, Pennsylvania",18240
"Northampton, Pennsylvania",304564
"Northumberland, Pennsylvania",91080
"Perry, Pennsylvania",46154
"Philadelphia, Pennsylvania",1583592
"Pike, Pennsylvania",55780
"Potter, Pennsylvania",16623
"Schuylkill, Pennsylvania",141815
"Snyder, Pennsylvania",40518
"Somerset, Pennsylvania",73872
"Sullivan, Pennsylvania",6076
"Susquehanna, Pennsylvania",40560
"Tioga, Pennsylvania",40690
"Union, Pennsylvania",45017
"Venango, Pennsylvania",51201
"Warren, Pennsylvania",39551
"Washington, Pennsylvania",207018
"Wayne, Pennsylvania",51395
"Westmoreland, Pennsylvania",350459
"Wyoming, Pennsylvania",27087
"York, Pennsylvania",447847
"Bristol, Rhode Island",48637
"Kent, Rhode Island",164053
"Newport, Rhode Island",82547
"Providence, Rhode Island",636953
"Washington, Rhode Island",126097
"Abbeville, South Carolina",24587
"Aiken, South Carolina",169449
"Allendale, South Carolina",8924
"Anderson, South Carolina",200292
"Bamberg, South Carolina",14272
"Barnwell, South Carolina",21121
"Beaufort, South Carolina",188876
"Berkeley, South Carolina",221182
"Calhoun, South Carolina",14563
"Charleston, South Carolina",406222
"Cherokee, South Carolina",57069
"Chester, South Carolina",32304
"Chesterfield, South Carolina",45881
"Clarendon, South Carolina",33742
"Colleton, South Carolina",37676
"Darlington, South Carolina",66759
"Dillon, South Carolina",30612
"Dorchester, South Carolina",160718
"Edgefield, South Carolina",27132
"Fairfield, South Carolina",22376
"Florence, South Carolina",138277
"Georgetown, South Carolina",62232
"Greenville, South Carolina",514621
"Greenwood, South Carolina",70597
"Hampton, South Carolina",19348
"Horry, South Carolina",344105
"Jasper, South Carolina",29147
"Kershaw, South Carolina",65802
"Lancaster, South Carolina",95035
"Laurens, South Carolina",66890
"Lee, South Carolina",17294
"Lexington, South Carolina",294350
"McCormick, South Carolina",9408
"Marion, South Carolina",31056
"Marlboro, South Carolina",26392
"Newberry, South Carolina",38443
"Oconee, South Carolina",78307
"Orangeburg, South Carolina",87013
"Pickens, South Carolina",125225
"Richland, South Carolina",414202
"Saluda, South Carolina",20397
"Spartanburg, South Carolina",314137
"Sumter, South Carolina",106409
"Union, South Carolina",27324
"Williamsburg, South Carolina",30606
"York, South Carolina",273782
"Aurora, South Dakota",2785
"Beadle, South Dakota",18423
"Bennett, South Dakota",3473
"Bon Homme, South Dakota",6910
"Brookings, South Dakota",35077
"Brown, South Dakota",39145
"Brule, South Dakota",5230
"Buffalo, South Dakota",2027
"Butte, South Dakota",10253
"Campbell, South Dakota",1366
"Charles Mix, South Dakota",9331
"Clark, South Dakota",3726
"Clay, South Dakota",13983
"Codington, South Dakota",28033
"Corson, South Dakota",4178
"Custer, South Dakota",8812
"Davison, South Dakota",19784
"Day, South Dakota",5507
"Deuel, South Dakota",4352
"Dewey, South Dakota",5925
"Douglas, South Dakota",2926
"Edmunds, South Dakota",3866
"Fall River, South Dakota",6740
"Faulk, South Dakota",2315
"Grant, South Dakota",7103
"Gregory, South Dakota",4189
"Haakon, South Dakota",1902
"Hamlin, South Dakota",6070
"Hand, South Dakota",3240
"Hanson, South Dakota",3364
"Harding, South Dakota",1252
"Hughes, South Dakota",17683
"Hutchinson, South Dakota",7306
"Hyde, South Dakota",1271
"Jackson, South Dakota",3278
"Jerauld, South Dakota",2026
"Jones, South Dakota",928
"Kingsbury, South Dakota",4926
"Lake, South Dakota",13055
"Lawrence, South Dakota",25727
"Lincoln, South Dakota",58795
"Lyman, South Dakota",3804
"McCook, South Dakota",5601
"McPherson, South Dakota",2401
"Marshall, South Dakota",4921
"Meade, South Dakota",28204
"Mellette, South Dakota",2034
"Miner, South Dakota",2204
"Minnehaha, South Dakota",190992
"Moody, South Dakota",6502
"Oglala Lakota, South Dakota",14331
"Pennington, South Dakota",111950
"Perkins, South Dakota",2908
"Potter, South Dakota",2206
"Roberts, South Dakota",10376
"Sanborn, South Dakota",2396
"Spink, South Dakota",6484
"Stanley, South Dakota",3017
"Sully, South Dakota",1377
"Todd, South Dakota",10245
"Tripp, South Dakota",5491
"Turner, South Dakota",8422
"Union, South Dakota",15570
"Walworth, South Dakota",5477
"Yankton, South Dakota",22759
"Ziebach, South Dakota",2744
"Anderson, Tennessee",76287
"Bedford, Tennessee",49146
"Benton, Tennessee",16246
"Bledsoe, Tennessee",14883
"Blount, Tennessee",131331
"Bradley, Tennessee",107050
"Campbell, Tennessee",39795
"Cannon, Tennessee",14440
"Carroll, Tennessee",27975
"Carter, Tennessee",56417
"Cheatham, Tennessee",40502
"Chester, Tennessee",17245
"Claiborne, Tennessee",31850
"Clay, Tennessee",7677
"Cocke, Tennessee",35858
"Coffee, Tennessee",55877
"Crockett, Tennessee",14296
"Cumberland, Tennessee",59738
"Davidson, Tennessee",690516
"Decatur, Tennessee",11699
"DeKalb, Tennessee",20133
"Dickson, Tennessee",53446
"Dyer, Tennessee",37286
"Fayette, Tennessee",40556
"Fentress, Tennessee",18322
"Franklin, Tennessee",41935
"Gibson, Tennessee",49171
"Giles, Tennessee",29446
"Grainger, Tennessee",23137
"Greene, Tennessee",69164
"Grundy, Tennessee",13348
"Hamblen, Tennessee",64629
"Hamilton, Tennessee",364293
"Hancock, Tennessee",6561
"Hardeman, Tennessee",25276
"Hardin, Tennessee",25693
"Hawkins, Tennessee",56713
"Haywood, Tennessee",17347
"Henderson, Tennessee",27983
"Henry, Tennessee",32336
"Hickman, Tennessee",25007
"Houston, Tennessee",8234
"Humphreys, Tennessee",18551
"Jackson, Tennessee",11777
"Jefferson, Tennessee",54012
"Johnson, Tennessee",17774
"Knox, Tennessee",466258
"Lake, Tennessee",7407
"Lauderdale, Tennessee",25997
"Lawrence, Tennessee",43771
"Lewis, Tennessee",12074
"Lincoln, Tennessee",34189
"Loudon, Tennessee",53082
"McMinn, Tennessee",53336
"McNairy, Tennessee",25830
"Macon, Tennessee",24289
"Madison, Tennessee",97603
"Marion, Tennessee",28598
"Marshall, Tennessee",33806
"Maury, Tennessee",94273
"Meigs, Tennessee",12297
"Monroe, Tennessee",46269
"Montgomery, Tennessee",205312
"Moore, Tennessee",6457
"Morgan, Tennessee",21534
"Obion, Tennessee",30274
"Overton, Tennessee",22068
"Perry, Tennessee",8050
"Pickett, Tennessee",5053
"Polk, Tennessee",16918
"Putnam, Tennessee",78631
"Rhea, Tennessee",32911
"Roane, Tennessee",53258
"Robertson, Tennessee",71179
"Rutherford, Tennessee",324647
"Scott, Tennessee",22028
"Sequatchie, Tennessee",14891
"Sevier, Tennessee",97895
"Shelby, Tennessee",936365
"Smith, Tennessee",19979
"Stewart, Tennessee",13619
"Sullivan, Tennessee",157599
"Sumner, Tennessee",187490
"Tipton, Tennessee",61576
"Trousdale, Tennessee",11033
"Unicoi, Tennessee",17822
"Union, Tennessee",19689
"Van Buren, Tennessee",5763
"Warren, Tennessee",40826
"Washington, Tennessee",128661
"Wayne, Tennessee",16635
"Weakley, Tennessee",33413
"White, Tennessee",27086
"Williamson, Tennessee",231978
"Wilson, Tennessee",140954
"Anderson, Texas",57974
"Andrews, Texas",18011
"Angelina, Texas",86810
"Aransas, Texas",23446
"Archer, Texas",8700
"Armstrong, Texas",1879
"Atascosa, Texas",50322
"Austin, Texas",29965
"Bailey, Texas",7015
"Bandera, Texas",22792
"Bastrop, Texas",86595
"Baylor, Texas",3573
"Bee, Texas",32467
"Bell, Texas",355397
"Bexar, Texas",1981187
"Blanco, Texas",11648
"Borden, Texas",647
"Bosque, Texas",18629
"Bowie, Texas",93688
"Brazoria, Texas",368887
"Brazos, Texas",225781
"Brewster, Texas",9272
"Briscoe, Texas",1512
"Brooks, Texas",7099
"Brown, Texas",37820
"Burleson, Texas",18335
"Burnet, Texas",47344
"Caldwell, Texas",43161
"Calhoun, Texas",21504
"Callahan, Texas",13990
"Cameron, Texas",422139
"Camp, Texas",12983
"Carson, Texas",6007
"Cass, Texas",30106
"Castro, Texas",7588
"Chambers, Texas",42227
"Cherokee, Texas",52381
"Childress, Texas",7315
"Clay, Texas",10448
"Cochran, Texas",2831
"Coke, Texas",3355
"Coleman, Texas",8367
"Collin, Texas",1004307
"Collingsworth, Texas",2942
"Colorado, Texas",21305
"Comal, Texas",148141
"Comanche, Texas",13540
"Concho, Texas",2683
"Cooke, Texas",40504
"Coryell, Texas",74741
"Cottle, Texas",1382
"Crane, Texas",4755
"Crockett, Texas",3439
"Crosby, Texas",5764
"Culberson, Texas",2194
"Dallam, Texas",7303
"Dallas, Texas",2629350
"Dawson, Texas",12605
"Deaf Smith, Texas",18711
"Delta, Texas",5332
"Denton, Texas",858741
"DeWitt, Texas",20106
"Dickens, Texas",2218
"Dimmit, Texas",10195
"Donley, Texas",3315
"Duval, Texas",11147
"Eastland, Texas",18319
"Ector, Texas",161960
"Edwards, Texas",1908
"Ellis, Texas",179006
"El Paso, Texas",836825
"Erath, Texas",42223
"Falls, Texas",17231
"Fannin, Texas",35185
"Fayette, Texas",25278
"Fisher, Texas",3821
"Floyd, Texas",5783
"Foard, Texas",1191
"Fort Bend, Texas",788081
"Franklin, Texas",10778
"Freestone, Texas",19789
"Frio, Texas",20211
"Gaines, Texas",20820
"Galveston, Texas",337858
"Garza, Texas",6243
"Gillespie, Texas",26702
"Glasscock, Texas",1391
"Goliad, Texas",7588
"Gonzales, Texas",20781
"Gray, Texas",22051
"Grayson, Texas",133787
"Gregg, Texas",123251
"Grimes, Texas",28291
"Guadalupe, Texas",163276
"Hale, Texas",33631
"Hall, Texas",3025
"Hamilton, Texas",8477
"Hansford, Texas",5470
"Hardeman, Texas",3929
"Hardin, Texas",57107
"Harris, Texas",4680045
"Harrison, Texas",66584
"Hartley, Texas",5611
"Haskell, Texas",5699
"Hays, Texas",222706
"Hemphill, Texas",3845
"Henderson, Texas",82103
"Hidalgo, Texas",862298
"Hill, Texas",36165
"Hockley, Texas",22971
"Hood, Texas",60177
"Hopkins, Texas",36738
"Houston, Texas",23068
"Howard, Texas",35925
"Hudspeth, Texas",4788
"Hunt, Texas",96606
"Hutchinson, Texas",21119
"Irion, Texas",1516
"Jack, Texas",8825
"Jackson, Texas",14834
"Jasper, Texas",35769
"Jeff Davis, Texas",2243
"Jefferson, Texas",253234
"Jim Hogg, Texas",5192
"Jim Wells, Texas",40756
"Johnson, Texas",171121
"Jones, Texas",19866
"Karnes, Texas",15660
"Kaufman, Texas",128279
"Kendall, Texas",45603
"Kenedy, Texas",437
"Kent, Texas",726
"Kerr, Texas",52415
"Kimble, Texas",4338
"King, Texas",276
"Kinney, Texas",3692
"Kleberg, Texas",30722
"Knox, Texas",3662
"Lamar, Texas",49729
"Lamb, Texas",13103
"Lampasas, Texas",21134
"La Salle, Texas",7493
"Lavaca, Texas",20114
"Lee, Texas",17097
"Leon, Texas",17260
"Liberty, Texas",85802
"Limestone, Texas",23343
"Lipscomb, Texas",3342
"Live Oak, Texas",12148
"Llano, Texas",21600
"Loving, Texas",148
"Lubbock, Texas",307627
"Lynn, Texas",5848
"McCulloch, Texas",7982
"McLennan, Texas",254196
"McMullen, Texas",731
"Madison, Texas",14363
"Marion, Texas",9915
"Martin, Texas",5681
"Mason, Texas",4259
"Matagorda, Texas",36566
"Maverick, Texas",58276
"Medina, Texas",50862
"Menard, Texas",2120
"Midland, Texas",172505
"Milam, Texas",25045
"Mills, Texas",4883
"Mitchell, Texas",8525
"Montague, Texas",19584
"Montgomery, Texas",589770
"Moore, Texas",21083
"Morris, Texas",12303
"Motley, Texas",1232
"Nacogdoches, Texas",65161
"Navarro, Texas",49536
"Newton, Texas",13751
"Nolan, Texas",14799
"Nueces, Texas",362026
"Ochiltree, Texas",9866
"Oldham, Texas",2118
"Orange, Texas",83474
"Palo Pinto, Texas",28874
"Panola, Texas",23142
"Parker, Texas",138070
"Parmer, Texas",9719
"Pecos, Texas",15709
"Polk, Texas",49955
"Potter, Texas",118711
"Presidio, Texas",6856
"Rains, Texas",12147
"Randall, Texas",135691
"Reagan, Texas",3736
"Real, Texas",3477
"Red River, Texas",12143
"Reeves, Texas",15513
"Refugio, Texas",7000
"Roberts, Texas",898
"Robertson, Texas",17219
"Rockwall, Texas",100546
"Runnels, Texas",10178
"Rusk, Texas",54301
"Sabine, Texas",10576
"San Augustine, Texas",8254
"San Jacinto, Texas",28717
"San Patricio, Texas",66671
"San Saba, Texas",6060
"Schleicher, Texas",2880
"Scurry, Texas",16812
"Shackelford, Texas",3256
"Shelby, Texas",25307
"Sherman, Texas",3101
"Smith, Texas",229749
"Somervell, Texas",9030
"Starr, Texas",64249
"Stephens, Texas",9405
"Sterling, Texas",1304
"Stonewall, Texas",1352
"Sutton, Texas",3752
"Swisher, Texas",7413
"Tarrant, Texas",2081446
"Taylor, Texas",137294
"Terrell, Texas",810
"Terry, Texas",12344
"Throckmorton, Texas",1504
"Titus, Texas",32743
"Tom Green, Texas",118014
"Travis, Texas",1246572
"Trinity, Texas",14688
"Tyler, Texas",21609
"Upshur, Texas",41179
"Upton, Texas",3637
"Uvalde, Texas",26787
"Val Verde, Texas",48988
"Van Zandt, Texas",55966
"Victoria, Texas",91878
"Walker, Texas",73136
"Waller, Texas",53512
"Ward, Texas",11709
"Washington, Texas",35496
"Webb, Texas",275120
"Wharton, Texas",41499
"Wheeler, Texas",5158
"Wichita, Texas",131807
"Wilbarger, Texas",12777
"Willacy, Texas",21450
"Williamson, Texas",566463
"Wilson, Texas",50196
"Winkler, Texas",7778
"Wise, Texas",68284
"Wood, Texas",45157
"Yoakum, Texas",8590
"Young, Texas",17986
"Zapata, Texas",14149
"Zavala, Texas",11969
"Beaver, Utah",6625
"Box Elder, Utah",54906
"Cache, Utah",126400
"Carbon, Utah",20233
"Daggett, Utah",974
"Davis, Utah",351101
"Duchesne, Utah",19943
"Emery, Utah",10003
"Garfield, Utah",5002
"Grand, Utah",9686
"Iron, Utah",52678
"Juab, Utah",11629
"Kane, Utah",7677
"Millard, Utah",12987
"Morgan, Utah",11956
"Piute, Utah",1438
"Rich, Utah",2456
"Salt Lake, Utah",1148692
"San Juan, Utah",15358
"Sanpete, Utah",30503
"Sevier, Utah",21497
"Summit, Utah",41890
"Tooele, Utah",69989
"Uintah, Utah",35405
"Utah, Utah",621520
"Wasatch, Utah",33067
"Washington, Utah",171567
"Wayne, Utah",2671
"Weber, Utah",255697
"Addison, Vermont",36873
"Bennington, Vermont",35520
"Caledonia, Vermont",30236
"Chittenden, Vermont",163571
"Essex, Vermont",6234
"Franklin, Vermont",49258
"Grand Isle, Vermont",7110
"Lamoille, Vermont",25295
"Orange, Vermont",28888
"Orleans, Vermont",26859
"Rutland, Vermont",58596
"Washington, Vermont",58079
"Windham, Vermont",42635
"Windsor, Vermont",55204
"Accomack, Virginia",32581
"Albemarle, Virginia",108377
"Alleghany, Virginia",14986
"Amelia, Virginia",13057
"Amherst, Virginia",31684
"Appomattox, Virginia",15881
"Arlington, Virginia",236025
"Augusta, Virginia",75535
"Bath, Virginia",4253
"Bedford, Virginia",78882
"Bland, Virginia",6303
"Botetourt, Virginia",33352
"Brunswick, Virginia",16336
"Buchanan, Virginia",21369
"Buckingham, Virginia",17043
"Campbell, Virginia",55137
"Caroline, Virginia",30751
"Carroll, Virginia",29741
"Charles City, Virginia",7000
"Charlotte, Virginia",11944
"Chesterfield, Virginia",348281
"Clarke, Virginia",14511
"Craig, Virginia",5102
"Culpeper, Virginia",51795
"Cumberland, Virginia",9857
"Dickenson, Virginia",14526
"Dinwiddie, Virginia",28633
"Essex, Virginia",10896
"Fairfax, Virginia",1148463
"Fauquier, Virginia",70642
"Floyd, Virginia",15790
"Fluvanna, Virginia",26898
"Franklin, Virginia",56191
"Frederick, Virginia",88173
"Giles, Virginia",16799
"Gloucester, Virginia",37341
"Goochland, Virginia",23219
"Grayson, Virginia",15635
"Greene, Virginia",19692
"Greensville, Virginia",11432
"Halifax, Virginia",34181
"Hanover, Virginia",106886
"Henrico, Virginia",328993
"Henry, Virginia",51050
"Highland, Virginia",2208
"Isle of Wight, Virginia",36972
"James City, Virginia",76033
"King and Queen, Virginia",7045
"King George, Virginia",26612
"King William, Virginia",16919
"Lancaster, Virginia",10696
"Lee, Virginia",23656
"Loudoun, Virginia",405522
"Louisa, Virginia",36784
"Lunenburg, Virginia",12215
"Madison, Virginia",13248
"Mathews, Virginia",8792
"Mecklenburg, Virginia",30624
"Middlesex, Virginia",10733
"Montgomery, Virginia",98532
"Nelson, Virginia",14862
"New Kent, Virginia",22317
"Northampton, Virginia",11761
"Northumberland, Virginia",12168
"Nottoway, Virginia",15400
"Orange, Virginia",36598
"Page, Virginia",23972
"Patrick, Virginia",17663
"Pittsylvania, Virginia",60901
"Powhatan, Virginia",29210
"Prince Edward, Virginia",22906
"Prince George, Virginia",37993
"Prince William, Virginia",466235
"Pulaski, Virginia",34060
"Rappahannock, Virginia",7345
"Richmond, Virginia",8970
"Roanoke, Virginia",94086
"Rockbridge, Virginia",22761
"Rockingham, Virginia",81261
"Russell, Virginia",26795
"Scott, Virginia",21672
"Shenandoah, Virginia",43473
"Smyth, Virginia",30454
"Southampton, Virginia",17713
"Spotsylvania, Virginia",134011
"Stafford, Virginia",149824
"Surry, Virginia",6463
"Sussex, Virginia",11241
"Tazewell, Virginia",41058
"Warren, Virginia",40006
"Washington, Virginia",54067
"Westmoreland, Virginia",17817
"Wise, Virginia",37875
"Wythe, Virginia",28698
"York, Virginia",67976
"Alexandria city, Virginia",159069
"Bristol city, Virginia",16685
"Buena Vista city, Virginia",6494
"Charlottesville city, Virginia",47506
"Chesapeake city, Virginia",242359
"Colonial Heights city, Virginia",17504
